Indicator,Geographic Area,Geographic Identifier,Race,Sex,Age,Time Period,n (Unweighted),Estimate % (weighted),2.5%,97.5%
Overall,Delaware,10,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Delaware,10,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Delaware,10,Non-Hispanic White,Overall,Overall,2022 Quarter 2,8,100,,
Overall,Delaware,10,Other,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Florida,12,Hispanic,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Florida,12,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Florida,12,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Florida,12,Non-Hispanic White,Overall,Overall,2022 Quarter 2,12,100,,
Overall,Florida,12,Other,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Georgia,13,Hispanic,Overall,Overall,2022 Quarter 2,35,100,,
Overall,Georgia,13,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,21,100,,
Overall,Georgia,13,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,69,100,,
Overall,Georgia,13,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1595,100,,
Overall,Georgia,13,Other,Overall,Overall,2022 Quarter 2,12,100,,
Overall,Iowa,19,Hispanic,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Iowa,19,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Iowa,19,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Iowa,19,Non-Hispanic White,Overall,Overall,2022 Quarter 2,349,100,,
Overall,Iowa,19,Other,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Idaho,16,Hispanic,Overall,Overall,2022 Quarter 2,29,100,,
Overall,Idaho,16,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Idaho,16,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Idaho,16,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1177,100,,
Overall,Idaho,16,Other,Overall,Overall,2022 Quarter 2,18,100,,
Overall,Illinois,17,Hispanic,Overall,Overall,2022 Quarter 2,20,100,,
Overall,Illinois,17,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,11,100,,
Overall,Illinois,17,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,9,100,,
Overall,Illinois,17,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1238,100,,
Overall,Illinois,17,Other,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Indiana,18,Hispanic,Overall,Overall,2022 Quarter 2,20,100,,
Overall,Indiana,18,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Indiana,18,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,6,100,,
Overall,Indiana,18,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1301,100,,
Overall,Indiana,18,Other,Overall,Overall,2022 Quarter 2,5,100,,
Overall,Kansas,20,Hispanic,Overall,Overall,2022 Quarter 2,24,100,,
Overall,Kansas,20,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,5,100,,
Overall,Kansas,20,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Kansas,20,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1323,100,,
Overall,Kansas,20,Other,Overall,Overall,2022 Quarter 2,10,100,,
Overall,Kentucky,21,Hispanic,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Kentucky,21,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Kentucky,21,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Kentucky,21,Non-Hispanic White,Overall,Overall,2022 Quarter 2,650,100,,
Overall,Kentucky,21,Other,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Louisiana,22,Hispanic,Overall,Overall,2022 Quarter 2,11,100,,
Overall,Louisiana,22,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Louisiana,22,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,45,100,,
Overall,Louisiana,22,Non-Hispanic White,Overall,Overall,2022 Quarter 2,484,100,,
Overall,Louisiana,22,Other,Overall,Overall,2022 Quarter 2,7,100,,
Overall,Massachusetts,25,Hispanic,Overall,Overall,2022 Quarter 2,22,100,,
Overall,Massachusetts,25,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,22,100,,
Overall,Massachusetts,25,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,8,100,,
Overall,Massachusetts,25,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1162,100,,
Overall,Massachusetts,25,Other,Overall,Overall,2022 Quarter 2,13,100,,
Overall,Maryland,24,Hispanic,Overall,Overall,2022 Quarter 2,12,100,,
Overall,Maryland,24,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,21,100,,
Overall,Maryland,24,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,35,100,,
Overall,Maryland,24,Non-Hispanic White,Overall,Overall,2022 Quarter 2,819,100,,
Overall,Maryland,24,Other,Overall,Overall,2022 Quarter 2,7,100,,
Overall,Maine,23,Hispanic,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Maine,23,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Maine,23,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Maine,23,Non-Hispanic White,Overall,Overall,2022 Quarter 2,484,100,,
Overall,Maine,23,Other,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Michigan,26,Hispanic,Overall,Overall,2022 Quarter 2,20,100,,
Overall,Michigan,26,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,25,100,,
Overall,Michigan,26,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Michigan,26,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2277,100,,
Overall,Michigan,26,Other,Overall,Overall,2022 Quarter 2,11,100,,
Overall,Minnesota,27,Hispanic,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Minnesota,27,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,10,100,,
Overall,Minnesota,27,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Minnesota,27,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2676,100,,
Overall,Minnesota,27,Other,Overall,Overall,2022 Quarter 2,13,100,,
Overall,Missouri,29,Hispanic,Overall,Overall,2022 Quarter 2,8,100,,
Overall,Missouri,29,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Missouri,29,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,13,100,,
Overall,Missouri,29,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1261,100,,
Overall,Missouri,29,Other,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Mississippi,28,Hispanic,Overall,Overall,2022 Quarter 2,9,100,,
Overall,Mississippi,28,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Mississippi,28,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,52,100,,
Overall,Mississippi,28,Non-Hispanic White,Overall,Overall,2022 Quarter 2,521,100,,
Overall,Mississippi,28,Other,Overall,Overall,2022 Quarter 2,3,100,,
Overall,Montana,30,Hispanic,Overall,Overall,2022 Quarter 2,21,100,,
Overall,Montana,30,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,8,100,,
Overall,Montana,30,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Montana,30,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1136,100,,
Overall,Montana,30,Other,Overall,Overall,2022 Quarter 2,20,100,,
Overall,North Carolina,37,Hispanic,Overall,Overall,2022 Quarter 2,26,100,,
Overall,North Carolina,37,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,9,100,,
Overall,North Carolina,37,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,62,100,,
Overall,North Carolina,37,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2256,100,,
Overall,North Carolina,37,Other,Overall,Overall,2022 Quarter 2,19,100,,
Overall,North Dakota,38,Hispanic,Overall,Overall,2022 Quarter 2,28,100,,
Overall,North Dakota,38,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,10,100,,
Overall,North Dakota,38,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,3,100,,
Overall,North Dakota,38,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1270,100,,
Overall,North Dakota,38,Other,Overall,Overall,2022 Quarter 2,12,100,,
Overall,Nebraska,31,Hispanic,Overall,Overall,2022 Quarter 2,14,100,,
Overall,Nebraska,31,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,5,100,,
Overall,Nebraska,31,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Nebraska,31,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1478,100,,
Overall,Nebraska,31,Other,Overall,Overall,2022 Quarter 2,4,100,,
Overall,New Hampshire,33,Hispanic,Overall,Overall,2022 Quarter 2,3,100,,
Overall,New Hampshire,33,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,3,100,,
Overall,New Hampshire,33,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,100,,
Overall,New Hampshire,33,Non-Hispanic White,Overall,Overall,2022 Quarter 2,609,100,,
Overall,New Hampshire,33,Other,Overall,Overall,2022 Quarter 2,1,100,,
Overall,New Jersey,34,Hispanic,Overall,Overall,2022 Quarter 2,16,100,,
Overall,New Jersey,34,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,4,100,,
Overall,New Jersey,34,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,10,100,,
Overall,New Jersey,34,Non-Hispanic White,Overall,Overall,2022 Quarter 2,603,100,,
Overall,New Jersey,34,Other,Overall,Overall,2022 Quarter 2,5,100,,
Overall,New Mexico,35,Hispanic,Overall,Overall,2022 Quarter 2,853,100,,
Overall,New Mexico,35,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,36,100,,
Overall,New Mexico,35,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,23,100,,
Overall,New Mexico,35,Non-Hispanic White,Overall,Overall,2022 Quarter 2,961,100,,
Overall,New Mexico,35,Other,Overall,Overall,2022 Quarter 2,77,100,,
Overall,Nevada,32,Hispanic,Overall,Overall,2022 Quarter 2,280,100,,
Overall,Nevada,32,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,144,100,,
Overall,Nevada,32,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,55,100,,
Overall,Nevada,32,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1842,100,,
Overall,Nevada,32,Other,Overall,Overall,2022 Quarter 2,78,100,,
Overall,New York,36,Hispanic,Overall,Overall,2022 Quarter 2,25,100,,
Overall,New York,36,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,12,100,,
Overall,New York,36,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,12,100,,
Overall,New York,36,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2408,100,,
Overall,New York,36,Other,Overall,Overall,2022 Quarter 2,10,100,,
Overall,Ohio,39,Hispanic,Overall,Overall,2022 Quarter 2,31,100,,
Overall,Ohio,39,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,17,100,,
Overall,Ohio,39,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,28,100,,
Overall,Ohio,39,Non-Hispanic White,Overall,Overall,2022 Quarter 2,3526,100,,
Overall,Ohio,39,Other,Overall,Overall,2022 Quarter 2,10,100,,
Overall,Oklahoma,40,Hispanic,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Oklahoma,40,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Oklahoma,40,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Oklahoma,40,Non-Hispanic White,Overall,Overall,2022 Quarter 2,258,100,,
Overall,Oklahoma,40,Other,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Oregon,41,Hispanic,Overall,Overall,2022 Quarter 2,38,100,,
Overall,Oregon,41,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,25,100,,
Overall,Oregon,41,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Oregon,41,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1309,100,,
Overall,Oregon,41,Other,Overall,Overall,2022 Quarter 2,23,100,,
Overall,Pennsylvania,42,Hispanic,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Pennsylvania,42,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,11,100,,
Overall,Pennsylvania,42,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Pennsylvania,42,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1779,100,,
Overall,Pennsylvania,42,Other,Overall,Overall,2022 Quarter 2,10,100,,
Overall,South Carolina,45,Hispanic,Overall,Overall,2022 Quarter 2,19,100,,
Overall,South Carolina,45,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,7,100,,
Overall,South Carolina,45,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,27,100,,
Overall,South Carolina,45,Non-Hispanic White,Overall,Overall,2022 Quarter 2,727,100,,
Overall,South Carolina,45,Other,Overall,Overall,2022 Quarter 2,3,100,,
Overall,South Dakota,46,Hispanic,Overall,Overall,2022 Quarter 2,26,100,,
Overall,South Dakota,46,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,4,100,,
Overall,South Dakota,46,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,4,100,,
Overall,South Dakota,46,Non-Hispanic White,Overall,Overall,2022 Quarter 2,824,100,,
Overall,South Dakota,46,Other,Overall,Overall,2022 Quarter 2,16,100,,
Overall,Tennessee,47,Hispanic,Overall,Overall,2022 Quarter 2,9,100,,
Overall,Tennessee,47,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,14,100,,
Overall,Tennessee,47,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,85,100,,
Overall,Tennessee,47,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1019,100,,
Overall,Tennessee,47,Other,Overall,Overall,2022 Quarter 2,10,100,,
Overall,Texas,48,Hispanic,Overall,Overall,2022 Quarter 2,807,100,,
Overall,Texas,48,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,28,100,,
Overall,Texas,48,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,20,100,,
Overall,Texas,48,Non-Hispanic White,Overall,Overall,2022 Quarter 2,985,100,,
Overall,Texas,48,Other,Overall,Overall,2022 Quarter 2,20,100,,
Overall,Utah,49,Hispanic,Overall,Overall,2022 Quarter 2,37,100,,
Overall,Utah,49,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,8,100,,
Overall,Utah,49,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Utah,49,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1149,100,,
Overall,Utah,49,Other,Overall,Overall,2022 Quarter 2,14,100,,
Overall,Virginia,51,Hispanic,Overall,Overall,2022 Quarter 2,35,100,,
Overall,Virginia,51,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Virginia,51,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,51,100,,
Overall,Virginia,51,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1675,100,,
Overall,Virginia,51,Other,Overall,Overall,2022 Quarter 2,16,100,,
Overall,Vermont,50,Hispanic,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Vermont,50,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,2,100,,
Overall,Vermont,50,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Vermont,50,Non-Hispanic White,Overall,Overall,2022 Quarter 2,232,100,,
Overall,Vermont,50,Other,Overall,Overall,2022 Quarter 2,0,100,,
Overall,Washington,53,Hispanic,Overall,Overall,2022 Quarter 2,56,100,,
Overall,Washington,53,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,19,100,,
Overall,Washington,53,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,5,100,,
Overall,Washington,53,Non-Hispanic White,Overall,Overall,2022 Quarter 2,1410,100,,
Overall,Washington,53,Other,Overall,Overall,2022 Quarter 2,22,100,,
Overall,Wisconsin,55,Hispanic,Overall,Overall,2022 Quarter 2,13,100,,
Overall,Wisconsin,55,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,9,100,,
Overall,Wisconsin,55,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Wisconsin,55,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2090,100,,
Overall,Wisconsin,55,Other,Overall,Overall,2022 Quarter 2,6,100,,
Overall,West Virginia,54,Hispanic,Overall,Overall,2022 Quarter 2,3,100,,
Overall,West Virginia,54,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,100,,
Overall,West Virginia,54,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,100,,
Overall,West Virginia,54,Non-Hispanic White,Overall,Overall,2022 Quarter 2,243,100,,
Overall,West Virginia,54,Other,Overall,Overall,2022 Quarter 2,1,100,,
Overall,Wyoming,56,Hispanic,Overall,Overall,2022 Quarter 2,29,100,,
Overall,Wyoming,56,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,5,100,,
Overall,Wyoming,56,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,4,100,,
Overall,Wyoming,56,Non-Hispanic White,Overall,Overall,2022 Quarter 2,544,100,,
Overall,Wyoming,56,Other,Overall,Overall,2022 Quarter 2,5,100,,
Past infection with or without vaccination,Alabama,01,Hispanic,Overall,Overall,2022 Quarter 2,4,92.33,12.55,99.9
Past infection with or without vaccination,Alabama,01,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,78.37,3.86,99.7
Past infection with or without vaccination,Alabama,01,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,14,77.99,44.59,93.98
Past infection with or without vaccination,Alabama,01,Non-Hispanic White,Overall,Overall,2022 Quarter 2,165,63.39,54.49,71.46
Past infection with or without vaccination,Alabama,01,Other,Overall,Overall,2022 Quarter 2,2,84.54,9.92,99.63
Past infection with or without vaccination,Arkansas,05,Hispanic,Overall,Overall,2022 Quarter 2,0,0,,
Past infection with or without vaccination,Arkansas,05,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Arkansas,05,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Arkansas,05,Non-Hispanic White,Overall,Overall,2022 Quarter 2,80,77.56,68.52,84.59
Past infection with or without vaccination,Arkansas,05,Other,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Arizona,04,Hispanic,Overall,Overall,2022 Quarter 2,460,71.57,66.75,75.95
Past infection with or without vaccination,Arizona,04,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,67,62.7,52.56,71.84
Past infection with or without vaccination,Arizona,04,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,36,58.01,39.11,74.82
Past infection with or without vaccination,Arizona,04,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2444,57.82,55.87,59.75
Past infection with or without vaccination,Arizona,04,Other,Overall,Overall,2022 Quarter 2,74,65.35,51.69,76.88
Past infection with or without vaccination,California,06,Hispanic,Overall,Overall,2022 Quarter 2,685,56.32,53.2,59.38
Past infection with or without vaccination,California,06,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,299,36.11,31.93,40.51
Past infection with or without vaccination,California,06,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,71,42.05,33.37,51.25
Past infection with or without vaccination,California,06,Non-Hispanic White,Overall,Overall,2022 Quarter 2,3035,43.99,42.29,45.71
Past infection with or without vaccination,California,06,Other,Overall,Overall,2022 Quarter 2,162,56.05,47.89,63.91
Past infection with or without vaccination,Colorado,08,Hispanic,Overall,Overall,2022 Quarter 2,301,63.8,58.21,69.04
Past infection with or without vaccination,Colorado,08,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,59,42.63,32.38,53.56
Past infection with or without vaccination,Colorado,08,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,26,65.99,46.77,81.08
Past infection with or without vaccination,Colorado,08,Non-Hispanic White,Overall,Overall,2022 Quarter 2,2198,58,55.99,59.98
Past infection with or without vaccination,Colorado,08,Other,Overall,Overall,2022 Quarter 2,33,53.31,38.87,67.22
Past infection with or without vaccination,Connecticut,09,Hispanic,Overall,Overall,2022 Quarter 2,21,68.12,45.54,84.52
Past infection with or without vaccination,Connecticut,09,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,2,15.24,3.54,46.84
Past infection with or without vaccination,Connecticut,09,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,7,47.83,22.12,74.75
Past infection with or without vaccination,Connecticut,09,Non-Hispanic White,Overall,Overall,2022 Quarter 2,527,50.49,45.58,55.38
Past infection with or without vaccination,Connecticut,09,Other,Overall,Overall,2022 Quarter 2,3,37.35,11.76,72.72
Past infection with or without vaccination,District of Columbia,11,Hispanic,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,District of Columbia,11,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,100,20.65,100
Past infection with or without vaccination,District of Columbia,11,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,15.37,1.8,64.28
Past infection with or without vaccination,District of Columbia,11,Non-Hispanic White,Overall,Overall,2022 Quarter 2,20,36.69,25.1,50.06
Past infection with or without vaccination,District of Columbia,11,Other,Overall,Overall,2022 Quarter 2,1,31.46,1.92,91.51
Past infection with or without vaccination,Delaware,10,Hispanic,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Delaware,10,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,100,20.65,100
Past infection with or without vaccination,Delaware,10,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,0,,
Past infection with or without vaccination,Delaware,10,Non-Hispanic White,Overall,Overall,2022 Quarter 2,4,57.53,21.76,86.84
Past infection with or without vaccination,Delaware,10,Other,Overall,Overall,2022 Quarter 2,0,0,,
Past infection with or without vaccination,Florida,12,Hispanic,Overall,Overall,2022 Quarter 2,1,100,20.65,100
Past infection with or without vaccination,Florida,12,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Florida,12,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,20.65,100
Past infection with or without vaccination,Florida,12,Non-Hispanic White,Overall,Overall,2022 Quarter 2,6,33.87,12.31,65.14
Past infection with or without vaccination,Florida,12,Other,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Georgia,13,Hispanic,Overall,Overall,2022 Quarter 2,22,63.31,43.53,79.44
Past infection with or without vaccination,Georgia,13,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,13,66.06,42.06,83.92
Past infection with or without vaccination,Georgia,13,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,43,60.91,47.56,72.81
Past infection with or without vaccination,Georgia,13,Non-Hispanic White,Overall,Overall,2022 Quarter 2,925,68,62.58,72.97
Past infection with or without vaccination,Georgia,13,Other,Overall,Overall,2022 Quarter 2,7,55.82,24.92,82.79
Past infection with or without vaccination,Iowa,19,Hispanic,Overall,Overall,2022 Quarter 2,2,100,34.24,100
Past infection with or without vaccination,Iowa,19,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Iowa,19,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Iowa,19,Non-Hispanic White,Overall,Overall,2022 Quarter 2,239,70.98,60.23,79.81
Past infection with or without vaccination,Iowa,19,Other,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Idaho,16,Hispanic,Overall,Overall,2022 Quarter 2,21,77.8,56.1,90.58
Past infection with or without vaccination,Idaho,16,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,2,22.85,1.22,87.63
Past infection with or without vaccination,Idaho,16,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,0,,,
Past infection with or without vaccination,Idaho,16,Non-Hispanic White,Overall,Overall,2022 Quarter 2,742,66.98,63.89,69.92
Past infection with or without vaccination,Idaho,16,Other,Overall,Overall,2022 Quarter 2,16,91.92,69.95,98.23
Past infection with or without vaccination,Illinois,17,Hispanic,Overall,Overall,2022 Quarter 2,10,58.04,37.32,76.26
Past infection with or without vaccination,Illinois,17,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,4,32.81,11.29,65.2
Past infection with or without vaccination,Illinois,17,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,6,76.67,41.78,93.77
Past infection with or without vaccination,Illinois,17,Non-Hispanic White,Overall,Overall,2022 Quarter 2,795,67.9,62.09,73.2
Past infection with or without vaccination,Illinois,17,Other,Overall,Overall,2022 Quarter 2,0,0,,
Past infection with or without vaccination,Indiana,18,Hispanic,Overall,Overall,2022 Quarter 2,13,67.68,44.82,84.38
Past infection with or without vaccination,Indiana,18,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,57.8,3.76,97.96
Past infection with or without vaccination,Indiana,18,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,5,72.59,19.77,96.61
Past infection with or without vaccination,Indiana,18,Non-Hispanic White,Overall,Overall,2022 Quarter 2,859,71.64,66.98,75.88
Past infection with or without vaccination,Indiana,18,Other,Overall,Overall,2022 Quarter 2,2,30.8,4.77,79.82
Past infection with or without vaccination,Kansas,20,Hispanic,Overall,Overall,2022 Quarter 2,19,84.01,62.38,94.34
Past infection with or without vaccination,Kansas,20,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,2,51.87,9.58,91.64
Past infection with or without vaccination,Kansas,20,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,1,100,20.65,100
Past infection with or without vaccination,Kansas,20,Non-Hispanic White,Overall,Overall,2022 Quarter 2,909,69.69,66.12,73.03
Past infection with or without vaccination,Kansas,20,Other,Overall,Overall,2022 Quarter 2,7,85.16,56.1,96.27
Past infection with or without vaccination,Kentucky,21,Hispanic,Overall,Overall,2022 Quarter 2,1,50,2.97,97.03
Past infection with or without vaccination,Kentucky,21,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,1,53.99,3.38,97.52
Past infection with or without vaccination,Kentucky,21,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,2,42.35,2.62,95.24
Past infection with or without vaccination,Kentucky,21,Non-Hispanic White,Overall,Overall,2022 Quarter 2,405,65.21,59.59,70.44
Past infection with or without vaccination,Kentucky,21,Other,Overall,Overall,2022 Quarter 2,3,81.54,24.14,98.4
Past infection with or without vaccination,Louisiana,22,Hispanic,Overall,Overall,2022 Quarter 2,9,86.82,52.96,97.47
Past infection with or without vaccination,Louisiana,22,Non-Hispanic Asian,Overall,Overall,2022 Quarter 2,3,69.93,15.83,96.64
Past infection with or without vaccination,Louisiana,22,Non-Hispanic Black,Overall,Overall,2022 Quarter 2,28,66.62,49.63,80.17
Past infection with or without vaccination,Louisiana,22,Non-Hispanic White,Overall,Overall,2022 Quarter 2,358,69.56,62.6,75.72
Past infection with or without vaccination,Louisiana,22,Other,Overall,Overall,2022 Quarter 2,3,39.98,12.28,76.02
Past infection with or without vaccination,Massachusetts,25,Hispanic,Overall,Overall,2022 Quarter 2,10,43.29,25.18,63.39
